评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
24年07月03日 17:03,这个会对未来的人工智能发展有什么影响呢,来自江西,这个会对未来的人工智能发展有什么影响呢,北京 东城区,女
24年07月03日 17:02,成立这个组织太有必要了,来自江西,成立这个组织太有必要了,北京 东城区,女
24年07月03日 17:02,这个宣布得好突然,来自广东,这个宣布得好突然,北京 东城区,女
24年07月03日 17:01,"这么一说还真是挺不错的呀<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自云南,这么一说还真是挺不错的呀[doge],北京 东城区,女
24年07月03日 16:54,真是超级喜欢你的话题了,来自江西,真是超级喜欢你的话题了,北京 东城区,女
24年07月03日 16:53,脑机接口标准化，人工智能应用更多元化！📈,来自浙江,脑机接口标准化，人工智能应用更多元化！📈,其他,女
24年07月03日 16:52,我觉得这样的技术会越来越好的,来自安徽,我觉得这样的技术会越来越好的,北京 东城区,女
24年07月03日 16:51,哇哦！我要告诉全世界,来自江苏,哇哦！我要告诉全世界,北京 东城区,女
24年07月03日 16:46,支持建设！期待AI能更多融入我们的生活,来自四川,支持建设！期待AI能更多融入我们的生活,北京,女
24年07月03日 16:45,请问这个技术标准会适用于虚拟偶像领域么,来自福建,请问这个技术标准会适用于虚拟偶像领域么,北京 东城区,女
24年07月03日 16:37,我想知道这个机器人在生产线上能做什么,来自天津,我想知道这个机器人在生产线上能做什么,北京,女
24年07月03日 16:35,好家伙！我的未来同事是个钢铁侠,来自江西,好家伙！我的未来同事是个钢铁侠,北京 东城区,女
24年07月03日 16:32,请问这个figure的人在中国的售后怎么样啊,来自安徽,请问这个figure的人在中国的售后怎么样啊,北京,女
24年07月03日 16:32,感觉未来会是机器人的天下,来自江西,感觉未来会是机器人的天下,北京 东城区,女
24年07月03日 16:31,看介绍感觉figure 的应用场景好像很广泛,来自江西,看介绍感觉figure 的应用场景好像很广泛,北京 东城区,女
24年07月03日 16:30,感觉未来汽车工业会大变样,来自福建,感觉未来汽车工业会大变样,北京 东城区,女
24年07月03日 16:28,哇哦！这个figure跟我家桌子尺寸差不多,来自广东,哇哦！这个figure跟我家桌子尺寸差不多,北京 东城区,女
24年07月03日 16:27,请问这个机器人的智能化程度怎么样,来自安徽,请问这个机器人的智能化程度怎么样,北京 东城区,女
24年07月03日 16:22,感觉以后买车会优先考虑巴伐利亚智造厂出来的车,来自广东,感觉以后买车会优先考虑巴伐利亚智造厂出来的车,北京 东城区,女
24年07月03日 16:21,"太先进了吧<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自广东,太先进了吧[打call],北京 东城区,女
24年07月03日 16:20,哇哦！这年头连厂里都用AI工人了嘛,来自贵州,哇哦！这年头连厂里都用AI工人了嘛,北京,女
24年07月03日 16:18,哇哦这个bot看起来好厉害,来自云南,哇哦这个bot看起来好厉害,北京 东城区,女
24年07月03日 16:18,感觉未来制造业会被重新定义,来自江苏,感觉未来制造业会被重新定义,北京 东城区,女
24年07月03日 16:16,"好高科技啊<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自云南,好高科技啊[送花花][送花花][送花花],北京 东城区,女
24年07月03日 16:16,"这个感觉不错啊<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />",来自天津,这个感觉不错啊[憧憬],北京,女
24年07月03日 16:15,Figure 01人形机器人上岗，智能时代就这样来了，期待更多创新！🎉,来自江苏,Figure 01人形机器人上岗，智能时代就这样来了，期待更多创新！🎉,北京 东城区,女
24年07月03日 16:14,这个机器人在现实中看上去好酷啊,来自江西,这个机器人在现实中看上去好酷啊,北京 东城区,女
24年07月03日 16:14,感觉以后买车会是这种机器人在生产线组装了,来自云南,感觉以后买车会是这种机器人在生产线组装了,北京 东城区,女
24年07月03日 16:13,希望它能发展的越来越好,来自江苏,希望它能发展的越来越好,北京,女
24年07月03日 16:13,这有啥实际的用处么,来自江苏,这有啥实际的用处么,北京 东城区,女
24年07月03日 16:12,有没有可能在国内生产然后降低成本呢,来自江苏,有没有可能在国内生产然后降低成本呢,北京 东城区,女
24年07月03日 16:11,太炫酷了！感觉未来的生产线上就会有很多机器人的身影,来自江苏,太炫酷了！感觉未来的生产线上就会有很多机器人的身影,北京 东城区,女
24年07月03日 16:10,感觉这个机器人都比真人能干得好啊,来自福建,感觉这个机器人都比真人能干得好啊,北京 东城区,女
24年07月03日 16:07,这玩意儿除了生产还能干啥,来自贵州,这玩意儿除了生产还能干啥,北京 东城区,女
24年07月03日 16:06,感觉以后人工厂的工人会是机器人和人类一起工作了,来自安徽,感觉以后人工厂的工人会是机器人和人类一起工作了,北京 东城区,女
24年07月03日 16:04,"大势所趋呀，接下来就是电替时代的战争了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自江西,大势所趋呀，接下来就是电替时代的战争了[二哈],北京 东城区,女
24年07月03日 16:03,哇！我的未来同事是它呀,来自安徽,哇！我的未来同事是它呀,北京 东城区,女
24年07月03日 16:02,这个机器人在实际生产中的应用会很大么,来自贵州,这个机器人在实际生产中的应用会很大么,北京 东城区,女
24年07月03日 16:02,感觉未来汽车制造业会被重塑,来自广东,感觉未来汽车制造业会被重塑,北京 东城区,女
24年07月03日 16:02,这个figure是不是要进军家居领域了,来自江西,这个figure是不是要进军家居领域了,北京 东城区,女
24年07月03日 16:02,我好奇如果将来有了更多的人形机器人了会不会影响人类的就业呢,来自安徽,我好奇如果将来有了更多的人形机器人了会不会影响人类的就业呢,北京 东城区,女
24年07月03日 16:00,这个机器人在生产线上能发挥什么作用啊,来自辽宁,这个机器人在生产线上能发挥什么作用啊,北京 东城区,女
24年07月03日 16:00,时尚,来自安徽,时尚,北京 东城区,女
24年07月03日 15:58,好奇这机器人在生产线上能发挥啥作用,来自江苏,好奇这机器人在生产线上能发挥啥作用,北京 东城区,女
24年07月03日 15:57,感觉以后生产线上全是智能机器人在干活了,来自江西,感觉以后生产线上全是智能机器人在干活了,北京 东城区,女
24年07月03日 15:56,人形机器人？这是要取代人类吗？,来自江苏,人形机器人？这是要取代人类吗？,北京 东城区,女
24年07月03日 15:55,看了Figure 01在宝马的表现，感觉像是在看科幻电影！🎥,来自贵州,看了Figure 01在宝马的表现，感觉像是在看科幻电影！🎥,北京 东城区,女
24年07月03日 15:52,哇！我的未来同事是智能机器人类,来自山东,哇！我的未来同事是智能机器人类,北京 东城区,女
24年07月03日 15:52,感觉这个机器人的出现会改变制造业的未来,来自云南,感觉这个机器人的出现会改变制造业的未来,北京 东城区,女
24年07月03日 15:51,感觉以后汽车产业会大量引入这类智能伙伴吧,来自贵州,感觉以后汽车产业会大量引入这类智能伙伴吧,北京,女
24年07月03日 15:51,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />我觉得应该可以的！毕竟省了不少人工",来自广东,[doge]我觉得应该可以的！毕竟省了不少人工,北京 东城区,女
24年07月03日 15:50,感觉这个人和我都一样笨,来自安徽,感觉这个人和我都一样笨,北京 东城区,女
24年07月03日 15:50,这个机器人在现实中的应用好广泛,来自安徽,这个机器人在现实中的应用好广泛,北京 东城区,女
24年07月03日 15:48,刚看到新闻说有款智能机器人在德国量产了,来自江苏,刚看到新闻说有款智能机器人在德国量产了,北京 东城区,女
24年07月03日 15:47,宝马工厂的新同事Figure 01上线啦，科技进步太快了！🚗🤖,来自山东,宝马工厂的新同事Figure 01上线啦，科技进步太快了！🚗🤖,北京 东城区,女
24年07月03日 15:47,感觉这个机器人的存在会让生产效率大大提高,来自江苏,感觉这个机器人的存在会让生产效率大大提高,北京 东城区,女
24年07月03日 15:44,Figure 01人形机器人正式上岗，期待它在车间的表现！✨,来自广东,Figure 01人形机器人正式上岗，期待它在车间的表现！✨,北京 东城区,女
24年07月03日 15:43,好奇这个机器人的故障率怎么样,来自江西,好奇这个机器人的故障率怎么样,北京 东城区,女
24年07月03日 15:42,请问这个机器人在中国能买到么,来自辽宁,请问这个机器人在中国能买到么,北京 东城区,女
24年07月03日 15:41,请问这个机器人在国内能买到么,来自辽宁,请问这个机器人在国内能买到么,北京 东城区,女
24年07月03日 18:23,游戏设计师的福音，新工具Meta 3D Gen💡,来自天津,游戏设计师的福音，新工具Meta 3D Gen💡,北京,女
24年07月03日 18:21,这么一说还真是第一次听说呢，感觉还是很牛的,来自安徽,这么一说还真是第一次听说呢，感觉还是很牛的,北京 东城区,女
24年07月03日 18:21,Meta 3D Gen AI模型真是太强大了，期待它能给我们带来更多惊喜！,来自安徽,Meta 3D Gen AI模型真是太强大了，期待它能给我们带来更多惊喜！,北京 东城区,女
24年07月03日 18:16,这款AI真的很优秀，要是能实时更新就好了,来自贵州,这款AI真的很优秀，要是能实时更新就好了,北京 东城区,女
24年07月03日 18:12,这也太厉害了吧，现在很多方面都变得更加的智能化了！,来自广东,这也太厉害了吧，现在很多方面都变得更加的智能化了！,北京 东城区,女
24年07月03日 18:11,"没想到这技术现在已经发展的这么快了，佩服<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自贵州,没想到这技术现在已经发展的这么快了，佩服[赞][赞],北京 东城区,女
24年07月03日 18:00,Meta 3D Gen AI模型是游戏界的福音，解决了虚拟现实与现实世界融合的问题,来自江苏,Meta 3D Gen AI模型是游戏界的福音，解决了虚拟现实与现实世界融合的问题,北京 东城区,女
24年07月03日 17:55,看着挺不错的，有没有什么新功能？,来自天津,看着挺不错的，有没有什么新功能？,北京,女
24年07月03日 17:54,这个技术如果用在游戏中该多好,来自辽宁,这个技术如果用在游戏中该多好,北京 东城区,女
